filename,title,author,year_started,year_finished,genre
10696.txt,"Старая сказка | «В этом мире, где наша особа...»",Николай Заболоцкий,1952,1952,poetry
10697.txt,Можжевеловый куст | «Я увидел во сне можжевеловый куст...»,Николай Заболоцкий,1957,1957,poetry
10698.txt,«Мне жена подарила пижаму...»,Николай Заболоцкий,1950,1950,poetry
10699.txt,Осень | «Когда минует день и освещение...»,Николай Заболоцкий,1932,1932,poetry
10700.txt,Одинокий дуб | «Дурная почва: слишком узловат...»,Николай Заболоцкий,1957,1957,poetry
10701.txt,"«Уступи мне, скворец, уголок...»",Николай Заболоцкий,1946,1946,poetry
10702.txt,"Школа жуков | «Мы, женщины, повелительницы котлов…»",Николай Заболоцкий,1931,1931,poetry
10703.txt,«Я воспитан природой суровой...»,Николай Заболоцкий,1953,1953,poetry
10704.txt,Вечерний бар | «В глуши бутылочного рая...»,Николай Заболоцкий,1926,1926,poetry
10705.txt,Футбол | «Ликует форвард на бегу...»,Николай Заболоцкий,1926,1926,poetry
10706.txt,Обводный канал | «В моем окне на весь квартал...»,Николай Заболоцкий,1928,1928,poetry
10707.txt,"На закате | «Когда, измученный работой...»",Николай Заболоцкий,1958,1958,poetry
10708.txt,"Пролог | «Кто вы, кивающие маленькой головкой…»",Николай Заболоцкий,1933,1933,poetry
10709.txt,У гробницы Данте | «Мне мачехой Флоренция была...»,Николай Заболоцкий,1958,1958,poetry
10710.txt,Соловей | «Уже умолкала лесная капелла...»,Николай Заболоцкий,1939,1939,poetry
10711.txt,«Тогда ударил вновь бокал...»,Николай Заболоцкий,1933,1933,poetry
10712.txt,«И с отвращеньем посмотрев в окошко...»,Николай Заболоцкий,1933,1933,poetry
10713.txt,"Белая ночь | «Гляди: не бал, не маскарад...»",Николай Заболоцкий,1926,1926,poetry
10714.txt,В тайге | «За высокий сугроб закатилась звезда...»,Николай Заболоцкий,1947,1947,poetry
10715.txt,Дождь | «В тумане облачных развалин...»,Николай Заболоцкий,1953,1953,poetry
10716.txt,Одиссей и сирены | «Однажды аттическим утром...»,Николай Заболоцкий,1957,1957,poetry
10717.txt,"Портрет | «Любите живопись, поэты!..»",Николай Заболоцкий,1953,1953,poetry
10718.txt,Подводный город | «Птицы плавают над морем...»,Николай Заболоцкий,1930,1930,poetry
10719.txt,«При первом наступлении зимы...»,Николай Заболоцкий,1955,1955,poetry
10720.txt,Сентябрь | «Сыплет дождик большие горошины...»,Николай Заболоцкий,1957,1957,poetry
10721.txt,На даче | «Вижу около постройки...»,Николай Заболоцкий,1929,1929,poetry
10722.txt,«Еще заря не встала над селом...»,Николай Заболоцкий,1946,1946,poetry
10723.txt,"«Ираклий, Тихон, Лев, Фома...»",Николай Заболоцкий,1933,1933,poetry
10724.txt,Страдания животных | «Смутные тела животных...»,Николай Заболоцкий,1931,1931,poetry
10725.txt,"Под дождем | «Мой зонтик рвется, точно птица...»",Николай Заболоцкий,1955,1955,poetry
10726.txt,Предостережение | «Где древней музыки фигуры...»,Николай Заболоцкий,1932,1932,poetry
10727.txt,"Ночь в Пасанаури | «Сияла ночь, играя на пандури...»",Николай Заболоцкий,1947,1947,poetry
10728.txt,Купальская мелодия | «Горячо припадала я к сонным листам...»,Николай Заболоцкий,1918,1918,poetry
10729.txt,Человек в воде | «Формы тела и ума...»,Николай Заболоцкий,1930,1930,poetry
10730.txt,«Меркнут знаки Зодиака...»,Николай Заболоцкий,1929,1929,poetry
10731.txt,"Болезнь | «Больной, свалившись на кровать...»",Николай Заболоцкий,1928,1928,poetry
10732.txt,"Лесная сторожка | «Скрипело, свистало и выло в лесу...»",Николай Заболоцкий,1957,1957,poetry
10733.txt,"«Вчера, о смерти размышляя...»",Николай Заболоцкий,1936,1936,poetry
10734.txt,"Битва слонов | «Воин слова, по ночам…»",Николай Заболоцкий,1931,1931,poetry
10735.txt,«Кто мне откликнулся в чаще лесной?..»,Николай Заболоцкий,1957,1957,poetry
10736.txt,Птичьи песни | «Пусть в зеленую книгу природы...»,Николай Заболоцкий,1953,1953,poetry
10737.txt,Лебедь в зоопарке | «Сквозь летние сумерки парка...»,Николай Заболоцкий,1948,1948,poetry
10738.txt,"Утро | «Петух запевает, светает, пора!..»",Николай Заболоцкий,1946,1946,poetry
10739.txt,"Голос в телефоне | «Раньше был он звонкий, точно птица...»",Николай Заболоцкий,1957,1957,poetry
10740.txt,Некрасивая девочка | «Среди других играющих детей...»,Николай Заболоцкий,1955,1955,poetry
10741.txt,Письмо | «Унесу я твою золотую красу...»,Николай Заболоцкий,1957,1957,poetry
10742.txt,«А если бы они взглянули за окно...»,Николай Заболоцкий,1933,1933,poetry
10743.txt,"Сон | «Жилец земли, пятидесяти лет...»",Николай Заболоцкий,1953,1953,poetry
10744.txt,Оттепель | «Оттепель после метели...»,Николай Заболоцкий,1948,1948,poetry
10745.txt,Зеленый луч | «Золотой светясь оправой...»,Николай Заболоцкий,1958,1958,poetry
10746.txt,Отдыхающие крестьяне | «Толпа высоких мужиков...»,Николай Заболоцкий,1933,1933,poetry
10747.txt,Царица мух | «Бьет крылом седой петух...»,Николай Заболоцкий,1930,1930,poetry
10748.txt,Пекарня | «В волшебном царстве калачей...»,Николай Заболоцкий,1928,1928,poetry
10749.txt,Разговор с медведем | «Еще не ломаются своды...»,Николай Заболоцкий,1931,1931,poetry
10750.txt,«Не позволяй душе лениться!..»,Николай Заболоцкий,1958,1958,poetry
10751.txt,"Признание | «Зацелована, околдована…»",Николай Заболоцкий,1957,1957,poetry
10752.txt,"Болеро | «Итак, Равель, танцуем болеро!..»",Николай Заболоцкий,1957,1957,poetry
10753.txt,"Фигуры сна | «Под одеялом, укрощая бег, ...»",Николай Заболоцкий,1928,1928,poetry
10754.txt,Море | «Вставали горы старины...»,Николай Заболоцкий,1926,1926,poetry
10755.txt,Поэт | «Черен бор за этим старым домом...»,Николай Заболоцкий,1953,1953,poetry
10756.txt,"Цирк | «Цирк сияет, словно щит...»",Николай Заболоцкий,1928,1928,poetry
10757.txt,"Последние канны | «Все то, что сияло и пело...»",Николай Заболоцкий,1955,1955,poetry
10758.txt,"Народный Дом | «Народный Дом, курятник радости...»",Николай Заболоцкий,1928,1928,poetry
10759.txt,«Я не ищу гармонии в природе...»,Николай Заболоцкий,1947,1947,poetry
10760.txt,"Лето | «Пунцовое солнце висело в длину, ...»",Николай Заболоцкий,1927,1927,poetry
10761.txt,"Храмгэс | «Плоскогорие Цалки, твою высоту...»",Николай Заболоцкий,1947,1947,poetry
10762.txt,"Лодейников | «В краю чудес, в краю живых растений...»",Николай Заболоцкий,1932,1947,poetry
10763.txt,«Тогда встает безмолвный Лев...»,Николай Заболоцкий,1933,1933,poetry
10764.txt,Часовой | «На карауле ночь густеет...»,Николай Заболоцкий,1927,1927,poetry
10765.txt,"Движение | «Сидит извозчик, как на троне...»",Николай Заболоцкий,1927,1927,poetry
10766.txt,"У моря | «Посмотри, как весною в Мисхоре...»",Николай Заболоцкий,1953,1953,poetry
10767.txt,«Где-то в поле возле Магадана...»,Николай Заболоцкий,1956,1956,poetry
10768.txt,"Творцы дорог | «Рожок поет протяжно и уныло,—...»",Николай Заболоцкий,1947,1947,poetry
10769.txt,«Облетают последние маки...»,Николай Заболоцкий,1952,1952,poetry
10770.txt,«Это было давно...»,Николай Заболоцкий,1957,1957,poetry
10771.txt,Прохожий | «Исполнен душевной тревоги...»,Николай Заболоцкий,1948,1948,poetry
10772.txt,Начало путешествия | «Мне вспоминается доныне...»,Николай Заболоцкий,1958,1958,poetry
10773.txt,«[…] Ложатся на раны...»,Николай Заболоцкий,1918,1918,poetry
10774.txt,Собрание зверей | «Сегодня годовщина памяти Безумного...»,Николай Заболоцкий,1931,1931,poetry
10775.txt,Возвращение с работы | «Вокруг села бродили грозы...»,Николай Заболоцкий,1954,1954,poetry
10776.txt,Стирка белья | «В стороне от шоссейной дороги...»,Николай Заболоцкий,1957,1957,poetry
10777.txt,"«Звезды, розы и квадраты...»",Николай Заболоцкий,1930,1930,poetry
